fill,delivered (/fb),recorded (/fb),integrated delivered (/fb),integrated recorded (/fb)
7441,7.592697627842e-09,7.122669834644001e-09,66.80168420681335,62.707924249129626
7442,1.1708915233612001e-08,1.1329621076584e-08,66.80168421852227,62.707924260459244
7443,1.4210783876479001e-08,1.3380174525082001e-08,66.80168423273305,62.70792427383942
7444,4.306658729910901e-08,4.1656132787466e-08,66.80168427579964,62.70792431549555
7446,4.4601727277041005e-08,4.3128613382578e-08,66.80168432040138,62.70792435862417
7448,4.4145986437798004e-08,4.2303375899792005e-08,66.80168436454737,62.707924400927546
7449,4.5660313218832005e-08,4.4612690806389e-08,66.80168441020768,62.707924445540236
7450,4.2774692177773004e-08,4.1731718927622e-08,66.80168445298237,62.70792448727195
7453,5.5698253214359e-08,5.304856598377201e-08,66.80168450868062,62.70792454032052
7454,4.534949362278001e-08,4.0476776659489e-08,66.80168455403012,62.7079245807973
7456,4.1901305317879005e-08,3.8855370134115e-08,66.80168459593142,62.707924619652665
7457,4.340507090091701e-08,4.1787009686231996e-08,66.80168463933649,62.70792466143968
7459,1.259631593712e-09,1.2137726880610002e-09,66.80168464059612,62.70792466265345
7460,3.4003045409918e-08,3.3035207539797005e-08,66.80168467459917,62.707924695688654
7464,3.8856640458107e-08,3.7839058786631005e-08,66.80168471345581,62.70792473352771
7466,5.700218677520801e-08,5.460806190967601e-08,66.801684770458,62.70792478813577
7467,6.5116077661514e-08,6.3171043992043e-08,66.80168483557408,62.707924851306814
7468,7.5639143586159e-08,7.315055280923799e-08,66.80168491121323,62.707924924457366
7471,6.7258708178997e-08,6.4870521426201e-08,66.80168497847194,62.707924989327886
7472,6.6876225173473e-08,6.3660010695458e-08,66.80168504534817,62.707925052987896
7473,7.5975246727467e-08,7.289518415927901e-08,66.80168512132342,62.70792512588308
7474,5.9071898460388005e-08,5.685527995228801e-08,66.80168518039531,62.70792518273836
7475,2.688018837944e-09,5.96296158619e-10,66.80168518308334,62.70792518333465
7477,6.6810347139835e-08,6.3632488250732e-08,66.80168524989368,62.70792524696714
7480,7.1478508412838e-08,6.6132538020611e-08,66.80168532137219,62.70792531309968
7481,7.4097238481045e-08,6.810762733221101e-08,66.80168539546943,62.7079253812073
7482,8.555622771382e-09,7.984553463757e-09,66.80168540402505,62.70792538919186
7483,4.671771824359901e-08,4.4679053127766e-08,66.80168545074277,62.70792543387091
7485,5.6024689227343005e-08,5.3990736603737e-08,66.80168550676746,62.70792548786165
7486,5.5895775556564e-08,5.4295338690281e-08,66.80168556266324,62.70792554215699
7487,6.6775865852833e-08,6.4051657915115e-08,66.8016856294391,62.70792560620865
7488,6.6422037780285e-08,6.3615769147873e-08,66.80168569586114,62.70792566982442
7489,1.3013844378293e-08,1.2095691636205001e-08,66.80168570887498,62.70792568192011
7490,6.8105705082417e-08,6.595576554536799e-08,66.80168577698069,62.707925747875876
7491,5.2419546991587004e-08,5.048621073365201e-08,66.80168582940024,62.70792579836208
7492,8.107440546155002e-09,7.753413170576e-09,66.80168583750768,62.7079258061155
