fill_number,start_stable_beam,end_stable_beam
9283,2023-10-20 20:39:01.000000,2023-10-20 21:45:47.000000
9284,2023-10-21 02:24:06.000000,2023-10-21 03:31:03.000000
9285,2023-10-21 05:55:30.000000,2023-10-21 11:54:35.000000
9288,2023-10-21 16:33:24.000000,2023-10-21 23:19:32.000000
9289,2023-10-22 01:54:58.000000,2023-10-22 05:58:09.000000
9291,2023-10-22 14:07:59.000000,2023-10-22 20:37:57.000000
9292,2023-10-22 23:44:08.000000,2023-10-23 07:52:24.000000
9294,2023-10-23 14:07:56.000000,2023-10-23 19:43:39.000000
9296,2023-10-24 00:59:01.000000,2023-10-24 02:02:09.000000
9297,2023-10-24 04:31:08.000000,2023-10-24 06:18:03.000000
